date,target,item_id
12/19/2013,29450,Close
12/21/2013,29450,Close
12/22/2013,29560,Close
12/24/2013,29710,Close
12/25/2013,29670,Close
12/26/2013,30010,Close
12/28/2013,29950,Close
12/29/2013,30150,Close
12/30/2013,30060,Close
12/31/2013,30070,Close
1/1/2014,30000,Close
1/2/2014,29920,Close
1/4/2014,29760,Close
1/5/2014,29740,Close
1/6/2014,29800,Close
1/7/2014,29850,Close
1/8/2014,29900,Close
1/9/2014,29800,Close
1/11/2014,29800,Close
1/12/2014,29790,Close
1/13/2014,29560,Close
1/14/2014,29630,Close
1/15/2014,29570,Close
1/16/2014,29570,Close
1/18/2014,29390,Close
1/19/2014,29360,Close
1/20/2014,28880,Close
1/21/2014,29340,Close
1/22/2014,29510,Close
1/23/2014,29400,Close
1/25/2014,29520,Close
1/26/2014,29450,Close
1/27/2014,29490,Close
1/28/2014,29480,Close
1/29/2014,29420,Close
1/30/2014,29350,Close
1/31/2014,29380,Close
2/1/2014,29420,Close
2/2/2014,29460,Close
2/3/2014,29540,Close
2/4/2014,29470,Close
2/5/2014,29510,Close
2/6/2014,29590,Close
2/7/2014,29600,Close
2/8/2014,29540,Close
2/9/2014,29460,Close
2/10/2014,29510,Close
2/11/2014,29500,Close
2/12/2014,29540,Close
2/13/2014,29520,Close
2/14/2014,29530,Close
2/15/2014,29580,Close
2/16/2014,29480,Close
2/17/2014,29520,Close
2/18/2014,29520,Close
2/19/2014,29520,Close
2/20/2014,29530,Close
2/21/2014,29500,Close
2/22/2014,29560,Close
2/23/2014,29600,Close
2/24/2014,29840,Close
2/25/2014,29900,Close
2/26/2014,29880,Close
2/27/2014,30090,Close
2/28/2014,30100,Close
3/1/2014,30450,Close
3/2/2014,30590,Close
3/3/2014,31070,Close
3/4/2014,30640,Close
3/5/2014,30520,Close
3/6/2014,30490,Close
3/7/2014,30460,Close
3/8/2014,30060,Close
3/9/2014,30440,Close
3/10/2014,30710,Close
3/11/2014,30550,Close
3/12/2014,30370,Close
3/13/2014,30360,Close
3/14/2014,30440,Close
3/15/2014,30080,Close
3/16/2014,30200,Close
3/17/2014,29960,Close
3/18/2014,30000,Close
3/19/2014,30140,Close
3/20/2014,30170,Close
3/23/2014,30270,Close
3/24/2014,30180,Close
3/25/2014,30300,Close
3/26/2014,30500,Close
3/27/2014,30580,Close
3/28/2014,30570,Close
3/29/2014,30470,Close
3/30/2014,30490,Close
3/31/2014,30640,Close
4/1/2014,30630,Close
4/3/2014,30610,Close
4/5/2014,30480,Close
4/6/2014,30430,Close
4/7/2014,30580,Close
4/8/2014,30900,Close
4/9/2014,30800,Close
4/10/2014,30810,Close
4/11/2014,30790,Close
4/12/2014,31140,Close
4/13/2014,31210,Close
4/14/2014,31300,Close
4/15/2014,31800,Close
4/16/2014,31560,Close
4/17/2014,31710,Close
4/18/2014,31730,Close
4/19/2014,31790,Close
4/20/2014,32090,Close
4/24/2014,32540,Close
4/25/2014,32480,Close
4/26/2014,32800,Close
4/27/2014,33350,Close
4/28/2014,32820,Close
4/29/2014,32950,Close
4/30/2014,32980,Close
5/1/2014,33100,Close
5/2/2014,33130,Close
5/3/2014,33150,Close
5/4/2014,32780,Close
5/5/2014,33140,Close
5/6/2014,33040,Close
5/7/2014,32910,Close
5/8/2014,32900,Close
5/9/2014,32870,Close
5/10/2014,32580,Close
5/11/2014,32360,Close
5/12/2014,32490,Close
5/13/2014,32480,Close
5/14/2014,32370,Close
5/15/2014,32450,Close
5/16/2014,32930,Close
5/17/2014,32990,Close
5/18/2014,32760,Close
5/19/2014,32820,Close
5/20/2014,32940,Close
5/21/2014,32900,Close
5/22/2014,32870,Close
5/23/2014,32830,Close
5/24/2014,32740,Close
5/25/2014,32820,Close
5/26/2014,32830,Close
5/27/2014,32770,Close
5/28/2014,32670,Close
5/29/2014,32780,Close
5/30/2014,32770,Close
5/31/2014,32760,Close
6/1/2014,32810,Close
6/2/2014,32820,Close
6/3/2014,32800,Close
6/4/2014,32830,Close
6/6/2014,32830,Close
6/7/2014,32620,Close
6/8/2014,32450,Close
6/9/2014,32320,Close
6/10/2014,32400,Close
6/11/2014,32400,Close
6/12/2014,32450,Close
6/13/2014,32430,Close
6/14/2014,32190,Close
6/15/2014,32120,Close
6/16/2014,31790,Close
6/17/2014,32040,Close
6/18/2014,31930,Close
6/19/2014,32110,Close
6/20/2014,32290,Close
6/21/2014,32070,Close
6/22/2014,31920,Close
6/24/2014,31670,Close
6/25/2014,31670,Close
6/26/2014,31650,Close
6/27/2014,31690,Close
6/28/2014,31390,Close
6/29/2014,31180,Close
6/30/2014,31140,Close
7/1/2014,31180,Close
7/2/2014,31330,Close
7/3/2014,31270,Close
7/4/2014,31260,Close
7/5/2014,30960,Close
7/6/2014,30950,Close
7/7/2014,31260,Close
7/8/2014,31180,Close
7/9/2014,31050,Close
7/10/2014,31020,Close
7/11/2014,31060,Close
7/12/2014,31220,Close
7/13/2014,31360,Close
7/14/2014,31230,Close
7/15/2014,31170,Close
7/16/2014,31360,Close
7/17/2014,31430,Close
7/18/2014,31560,Close
7/19/2014,31340,Close
7/20/2014,31310,Close
7/21/2014,31330,Close
7/22/2014,31330,Close
7/23/2014,31330,Close
7/24/2014,31390,Close
7/25/2014,31380,Close
7/26/2014,31390,Close
7/27/2014,31370,Close
7/28/2014,31290,Close
7/29/2014,31260,Close
7/30/2014,31240,Close
7/31/2014,31230,Close
8/2/2014,31290,Close
8/3/2014,31400,Close
8/4/2014,31420,Close
8/5/2014,31400,Close
8/6/2014,31400,Close
8/7/2014,31320,Close
8/8/2014,31320,Close
8/9/2014,31300,Close
8/10/2014,31220,Close
8/11/2014,31250,Close
8/12/2014,31190,Close
8/13/2014,31270,Close
8/14/2014,31180,Close
8/15/2014,31190,Close
8/16/2014,31090,Close
8/17/2014,31020,Close
8/18/2014,31070,Close
8/19/2014,31050,Close
8/20/2014,30930,Close
8/21/2014,30920,Close
8/22/2014,30910,Close
8/23/2014,31210,Close
8/24/2014,31160,Close
8/25/2014,31330,Close
8/26/2014,31270,Close
8/27/2014,31300,Close
8/28/2014,31300,Close
8/29/2014,31420,Close
8/30/2014,31590,Close
8/31/2014,31500,Close
9/1/2014,31480,Close
9/2/2014,31730,Close
9/3/2014,31720,Close
9/4/2014,31810,Close
9/5/2014,31740,Close
9/6/2014,31570,Close
9/7/2014,31680,Close
9/8/2014,31980,Close
9/9/2014,31750,Close
9/10/2014,31790,Close
9/11/2014,31840,Close
9/12/2014,31860,Close
9/13/2014,31760,Close
9/14/2014,31910,Close
9/15/2014,31980,Close
9/16/2014,31920,Close
9/17/2014,32140,Close
